,X,Y,Z
1,-8.31191605,-2.08173846,4.28012865
2,-8.32285478,-1.96485993,1.68229784
3,-8.32306876,-1.8080685,-1.78155509
4,-8.4174963,0.66349756,4.52029496
5,-8.4700359,0.82325127,1.93223717
6,-8.32193096,1.02794558,-1.50692935
7,-8.47437889,3.41573113,4.74305133
8,-8.57223562,3.61736825,2.169916
9,-8.31087437,4.57292981,-1.16359138
10,-8.47997886,6.86004164,5.00394503
11,-8.62541263,7.11765278,2.45663136
12,-8.27915953,7.40871648,-0.88857808
13,-8.43234671,9.61838536,5.18848619
14,-8.60372244,9.92313453,2.6689753
15,-8.20344425,10.24362479,-0.61346389
16,-8.31946817,12.3832556,5.35126445
17,-8.5028007,12.73448538,2.86543875
18,-8.0573473,13.07574547,-0.33860828
19,-8.07919818,15.16946285,5.47674067
20,-8.2506142,15.55871529,3.04421181
21,-7.69610191,-2.23454792,7.66509158
22,-7.68872159,0.40955557,7.85937029
23,-7.67019431,3.05637846,8.01829206
24,-7.58570796,6.36473262,8.18432935
25,-7.45473239,9.01155256,8.27176294
26,-7.71067192,16.60324113,0.00298786
27,-7.25437577,11.65504077,8.31498817
28,-7.66737875,18.24730476,3.9672495
29,-6.96429401,14.29038393,8.29899358
30,-7.18280845,19.38829928,0.27327716
31,-6.37814578,17.54489358,8.11851662
32,-5.77149215,-2.33709089,9.9365174
33,-5.73140562,0.45387842,10.12340273
34,-6.05470332,21.22991768,4.58733503
35,-6.17132677,22.0307131,0.52955862
36,-5.63495923,3.94386803,10.31782609
37,-5.50449921,6.73632693,10.4164653
38,-5.33936446,9.52851047,10.45516726
39,-5.14444376,12.31886156,10.41972757
40,-5.51649904,20.00389794,7.74244199
41,-4.84903048,15.09498556,10.25371565
42,-4.19342453,18.46943044,9.64821271
43,-3.43654326,20.94288224,8.60292214
44,-3.79045842,22.83651353,6.08130965
45,-3.72683102,23.70948089,3.85436629
46,-3.43655932,24.47535709,0.76656239
47,-1.71886525,-2.39341621,11.18674322
48,-1.70214159,0.45484594,11.35634127
49,-1.6774841,3.3055403,11.48102271
50,-1.62752283,6.8728182,11.54637344
51,-1.57599599,9.72722821,11.5420054
52,-1.51553027,12.58201979,11.47126578
53,-1.42395809,15.42798116,11.20114867
54,-1.22497941,18.86893194,10.29339063
55,-0.99788044,21.36192608,8.93411041
56,-1.10628098,23.48062197,6.40272935
57,-1.08781246,24.36253701,4.07333617
58,-1.00037729,25.02096083,0.8194573
59,1.42395809,15.42798116,11.20114867
60,1.22497941,18.86893194,10.29339063
61,0.99788044,21.36192608,8.93411041
62,1.10628098,23.48062197,6.40272935
63,1.08781246,24.36253701,4.07333617
64,1.00037729,25.02096083,0.8194573
65,1.71886525,-2.39341621,11.18674322
66,1.70214159,0.45484594,11.35634127
67,1.6774841,3.3055403,11.48102271
68,1.62752283,6.8728182,11.54637344
69,1.57599599,9.72722821,11.5420054
70,1.51553027,12.58201979,11.47126578
71,3.43654326,20.94288224,8.60292214
72,3.79045842,22.83651353,6.08130965
73,3.72683102,23.70948089,3.85436629
74,3.43655932,24.47535709,0.76656239
75,4.19342453,18.46943044,9.64821271
76,5.14444376,12.31886156,10.41972757
77,4.74693734,15.78279403,10.17883766
78,5.77149215,-2.33709089,9.9365174
79,5.73140562,0.45387842,10.12340273
80,5.63495923,3.94386803,10.31782609
81,5.50449921,6.73632693,10.4164653
82,5.33936446,9.52851047,10.45516726
83,5.51649904,20.00389794,7.74244199
84,6.37814578,17.54489358,8.11851662
85,6.05470332,21.22991768,4.58733503
86,6.17132677,22.0307131,0.52955862
87,7.25437577,11.65504077,8.31498817
88,6.96429401,14.29038393,8.29899358
89,7.69610191,-2.23454792,7.66509158
90,7.68872159,0.40955557,7.85937029
91,7.67019431,3.05637846,8.01829206
92,7.58570796,6.36473262,8.18432935
93,7.45473239,9.01155256,8.27176294
94,7.66737875,18.24730476,3.9672495
95,7.18280845,19.38829928,0.27327716
96,8.20344425,10.24362479,-0.61346389
97,8.0573473,13.07574547,-0.33860828
98,8.07919818,15.16946285,5.47674067
99,8.2506142,15.55871529,3.04421181
100,7.71067192,16.60324113,0.00298786
101,8.31191605,-2.08173846,4.28012865
102,8.32285478,-1.96485993,1.68229784
103,8.32306876,-1.8080685,-1.78155509
104,8.4174963,0.66349756,4.52029496
105,8.4700359,0.82325127,1.93223717
106,8.32193096,1.02794558,-1.50692935
107,8.47437889,3.41573113,4.74305133
108,8.57223562,3.61736825,2.169916
109,8.31087437,4.57292981,-1.16359138
110,8.47997886,6.86004164,5.00394503
111,8.62541263,7.11765278,2.45663136
112,8.27915953,7.40871648,-0.88857808
113,8.43234671,9.61838536,5.18848619
114,8.60372244,9.92313453,2.6689753
115,8.31946817,12.3832556,5.35126445
116,8.5028007,12.73448538,2.86543875
